Taxonomy.Order,Category,English.name,Scientific.Name,English.India,IUCN,WG,Genus.Name,Species.Name,Subspecies.Name,Feeding Guild,Raptors,Primary Hole-nesters,Woodland Understorey Birds,Parasitic Cuckoos
7469,species,Eurasian Bittern,Botaurus stellaris,Eurasian Bittern,,,Botaurus,stellaris,,Aquatic-Carnivore,,,,
7499,species,Yellow Bittern,Botaurus sinensis,Yellow Bittern,,,Botaurus,sinensis,,Aquatic-Carnivore,,,,
7495,species,Little Bittern,Botaurus minutus,Little Bittern,,,Botaurus,minutus,,Aquatic-Carnivore,,,,
7491,species,Cinnamon Bittern,Botaurus cinnamomeus,Cinnamon Bittern,,,Botaurus,cinnamomeus,,Aquatic-Carnivore,,,,
7487,species,Black Bittern,Botaurus flavicollis,Black Bittern,,,Botaurus,flavicollis,,Aquatic-Carnivore,,,,
7503,spuh,small bittern sp.,Botaurus sp. (small bittern sp.),small bittern sp.,,,Botaurus,sp.,,Aquatic-Carnivore,,,,
7651,species,Gray Heron,Ardea cinerea,Gray Heron,,,Ardea,cinerea,,Aquatic-Carnivore,,,,
7680,species,White-bellied Heron,Ardea insignis,White-bellied Heron,Critically Endangered,,Ardea,insignis,,Aquatic-Carnivore,,,,
7685,species,Goliath Heron,Ardea goliath,Goliath Heron,,,Ardea,goliath,,Aquatic-Carnivore,,,,
7671,species,Purple Heron,Ardea purpurea,Purple Heron,,,Ardea,purpurea,,Aquatic-Carnivore,,,,
7635,species,Great Egret,Ardea alba,Great Egret,,,Ardea,alba,,Aquatic-Carnivore,,,,
7686,spuh,Ardea sp.,Ardea sp.,Ardea heron sp.,,,Ardea,sp.,,Aquatic-Carnivore,,,,
7643,species,Medium Egret,Ardea intermedia,Medium Egret (Intermediate Egret),,,Ardea,intermedia,,Aquatic-Carnivore,,,,
7645,slash,Great/Medium Egret,Ardea alba/intermedia,Great/Medium Egret,,,Ardea,alba/intermedia,,Aquatic-Carnivore,,,,
7562,species,Little Egret,Egretta garzetta,Little Egret,,,Egretta,garzetta,,Aquatic-Carnivore,,,,
7567,species,Western Reef-Heron,Egretta gularis,Western Reef-Heron (Western Reef-Egret),,,Egretta,gularis,,Aquatic-Carnivore,,,,
7571,slash,Little Egret/Western Reef-Heron,Egretta garzetta/gularis,Little Egret/Western Reef-Heron,,,Egretta,garzetta/gularis,,Aquatic-Carnivore,,,,
7553,species,Pacific Reef-Heron,Egretta sacra,Pacific Reef-Heron (Pacific Reef-Egret),,,Egretta,sacra,,Aquatic-Carnivore,,,,
7632,species,Eastern Cattle-Egret,Ardea coromanda,Eastern Cattle-Egret,,,Ardea,coromanda,,Aquatic-Carnivore,,,,
7688,spuh,white egret sp.,Egretta/Ardea sp.,white egret sp.,,,Egretta/Ardea,sp.,,Aquatic-Carnivore,,,,
7623,species,Indian Pond-Heron,Ardeola grayii,Indian Pond-Heron,,,Ardeola,grayii,,Aquatic-Carnivore,,,,
7624,species,Chinese Pond-Heron,Ardeola bacchus,Chinese Pond-Heron,,,Ardeola,bacchus,,Aquatic-Carnivore,,,,
7630,spuh,pond-heron sp.,Ardeola sp.,pond-heron sp.,,,Ardeola,sp.,,Aquatic-Carnivore,,,,
7581,species,Striated Heron,Butorides striata,Striated Heron (Little Heron),,,Butorides,striata,,Aquatic-Carnivore,,,,
7513,species,Black-crowned Night Heron,Nycticorax nycticorax,Black-crowned Night Heron,,,Nycticorax,nycticorax,,Aquatic-Carnivore,,,,
7533,species,Malayan Night Heron,Gorsachius melanolophus,Malayan Night Heron,,,Gorsachius,melanolophus,,Aquatic-Carnivore,,,,
7687,spuh,heron sp.,Ardeidae sp.,heron sp.,,,Ardeidae,sp.,,Aquatic-Carnivore,,,,
7382,species,Glossy Ibis,Plegadis falcinellus,Glossy Ibis,,,Plegadis,falcinellus,,Aquatic-Carnivore,,,,
7412,species,Black-headed Ibis,Threskiornis melanocephalus,Black-headed Ibis,,,Threskiornis,melanocephalus,,Aquatic-Carnivore,,,,
